         167619 function calls (163127 primitive calls) in 13.251 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       21    0.000    0.000    0.002    0.000 ImageFile.py:284(load_prepare)
        1    0.000    0.000    0.002    0.002 pickle.py:24(<module>)
       21    0.002    0.000    0.002    0.000 {built-in method PIL._imaging.new}
      321    0.000    0.000    0.002    0.000 re.py:185(sub)
      150    0.002    0.000    0.002    0.000 sre_compile.py:276(_optimize_charset)
       21    0.000    0.000    0.002    0.000 JpegImagePlugin.py:780(jpeg_factory)
        1    0.000    0.000    0.002    0.002 type_check.py:3(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:14(<module>)
        2    0.000    0.000    0.002    0.001 shape_base.py:1(<module>)
5187/5137    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
       23    0.000    0.000    0.002    0.000 overrides.py:200(decorator)
       21    0.000    0.000    0.002    0.000 ssl.py:1023(sendall)
       21    0.000    0.000    0.002    0.000 ImageFile.py:90(__init__)
        1    0.000    0.000    0.002    0.002 quoprimime.py:27(<module>)
     2468    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
       23    0.000    0.000    0.002    0.000 __init__.py:1478(configure)
        1    0.000    0.000    0.002    0.002 tokenize.py:21(<module>)
        1    0.000    0.000    0.002    0.002 polynomial.py:57(<module>)
        1    0.000    0.000    0.002    0.002 core.py:21(<module>)
       23    0.000    0.000    0.002    0.000 __init__.py:1466(_configure)
       16    0.001    0.000    0.002    0.000 __init__.py:316(namedtuple)
       65    0.000    0.000    0.002    0.000 sre_compile.py:536(_compile_info)
     4332    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
        3    0.000    0.000    0.002    0.001 glob.py:9(glob)
       44    0.000    0.000    0.002    0.000 glob.py:39(_iglob)
        1    0.000    0.000    0.002    0.002 request.py:575(build_opener)
      341    0.001    0.000    0.002    0.000 functools.py:37(update_wrapper)
      321    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
        1    0.000    0.000    0.002    0.002 decimal.py:2(<module>)
        1    0.000    0.000    0.002    0.002 subprocess.py:42(<module>)
       21    0.000    0.000    0.002    0.000 JpegImagePlugin.py:339(_open)
       27    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
        1    0.000    0.000    0.002    0.002 decoder.py:2(<module>)
       21    0.000    0.000    0.002    0.000 ssl.py:996(send)
      714    0.002    0.000    0.002    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.002    0.002 charset.py:6(<module>)
       21    0.002    0.000    0.002    0.000 {method 'write' of '_ssl._SSLSocket' objects}
      253    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
      309    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
       21    0.001    0.000    0.002    0.000 feedparser.py:471(_parse_headers)
        1    0.000    0.000    0.002    0.002 GifImagePlugin.py:27(<module>)
    11522    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.002    0.002 nanfunctions.py:22(<module>)
      280    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
      614    0.001    0.000    0.001    0.000 _inspect.py:67(getargs)
        1    0.000    0.000    0.001    0.001 stringprep.py:6(<module>)
       27    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        1    0.000    0.000    0.001    0.001 selectors.py:5(<module>)
        1    0.001    0.001    0.001    0.001 {built-in method _sqlite3.connect}
     2140    0.001    0.000    0.001    0.000 sre_parse.py:164(__getitem__)
        3    0.000    0.000    0.001    0.000 glob.py:79(_glob1)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:7(<module>)
     2200    0.001    0.000    0.001    0.000 sre_parse.py:254(get)
        1    0.000    0.000    0.001    0.001 lzma.py:9(<module>)
       21    0.000    0.000    0.001    0.000 request.py:307(request_host)
      448    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
       21    0.000    0.000    0.001    0.000 request.py:349(full_url)
        1    0.000    0.000    0.001    0.001 polynomial.py:4(<module>)
      565    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
      271    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
      590    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
        1    0.000    0.000    0.001    0.001 fractions.py:4(<module>)
      129    0.000    0.000    0.001    0.000 __init__.py:1315(_options)
       21    0.000    0.000    0.001    0.000 parse.py:361(urlparse)
7959/7590    0.001    0.000    0.001    0.000 {built-in method builtins.len}
       37    0.000    0.000    0.001    0.000 abc.py:125(__new__)
       21    0.001    0.000    0.001    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
        1    0.000    0.000    0.001    0.001 __init__.py:2770(__init__)
       21    0.000    0.000    0.001    0.000 client.py:236(__init__)
       42    0.000    0.000    0.001    0.000 parse.py:977(splittype)
        1    0.000    0.000    0.001    0.001 base64.py:3(<module>)
        1    0.000    0.000    0.001    0.001 secrets.py:7(<module>)
        6    0.001    0.000    0.001    0.000 {built-in method nt.chdir}
        1    0.000    0.000    0.001    0.001 twodim_base.py:3(<module>)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:24(<module>)
      253    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
  418/143    0.001    0.000    0.001    0.000 sre_parse.py:174(getwidth)
        3    0.000    0.000    0.001    0.000 __init__.py:340(__init__)
       21    0.000    0.000    0.001    0.000 request.py:380(_parse)
      224    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
