WITHOUT ANY DATABASE

         122704 function calls (118559 primitive calls) in 7.704 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 pathlib.py:1(<module>)
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
        1    0.000    0.000    0.001    0.001 loader.py:1(<module>)
      618    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
        1    0.000    0.000    0.001    0.001 ttk.py:13(<module>)
        6    0.000    0.000    0.000    0.000 getlimits.py:37(__init__)
     5091    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 signal.py:1(<module>)
      206    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
     5608    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
     2781    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       44    0.000    0.000    0.000    0.000 core.py:145(get_object_signature)
       16    0.000    0.000    0.000    0.000 enum.py:177(<setcomp>)
        3    0.000    0.000    0.000    0.000 warnings.py:130(filterwarnings)
      259    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
        1    0.000    0.000    0.000    0.000 encoder.py:2(<module>)
      320    0.000    0.000    0.000    0.000 enum.py:376(__setattr__)
       69    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    0.000    0.000 TiffTags.py:20(<module>)
       26    0.000    0.000    0.000    0.000 core.py:6618(__init__)
      273    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      496    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
       26    0.000    0.000    0.000    0.000 core.py:6623(getdoc)
      255    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
       59    0.000    0.000    0.000    0.000 enum.py:836(__and__)
     1667    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       22    0.000    0.000    0.000    0.000 __init__.py:1315(_options)
      731    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
        2    0.000    0.000    0.000    0.000 {built-in method nt.scandir}
        1    0.000    0.000    0.000    0.000 histograms.py:3(<module>)
       52    0.000    0.000    0.000    0.000 core.py:889(__init__)
        1    0.000    0.000    0.000    0.000 ufunclike.py:5(<module>)
        1    0.000    0.000    0.000    0.000 pickle.py:181(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:2770(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:62(<module>)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
      102    0.000    0.000    0.000    0.000 re.py:170(match)
        1    0.000    0.000    0.000    0.000 __init__.py:2067(readprofile)
        1    0.000    0.000    0.000    0.000 errors.py:5(<module>)
        1    0.000    0.000    0.000    0.000 utils.py:4(<module>)
      865    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
        4    0.000    0.000    0.000    0.000 core.py:122(doc_note)
      618    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
      260    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
      731    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
        2    0.000    0.000    0.000    0.000 __init__.py:1478(configure)
      582    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
        1    0.000    0.000    0.000    0.000 glob.py:1(<module>)
        1    0.000    0.000    0.000    0.000 model.py:1(<module>)
       18    0.000    0.000    0.000    0.000 {built-in method builtins.next}
       33    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 helper.py:4(<module>)
       40    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
      206    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
        4    0.000    0.000    0.000    0.000 re.py:205(split)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:1466(_configure)
        2    0.000    0.000    0.000    0.000 _utils.py:12(temporary_chdir)
        1    0.000    0.000    0.000    0.000 {built-in method nt.mkdir}
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:5(HTTPStatus)
       19    0.000    0.000    0.000    0.000 _add_newdocs.py:6704(add_newdoc_for_scalar_type)
      131    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
       14    0.000    0.000    0.000    0.000 hashlib.py:116(__get_openssl_constructor)
      206    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
      729    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      238    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
       30    0.000    0.000    0.000    0.000 getlimits.py:43(<lambda>)
        1    0.000    0.000    0.000    0.000 numbers.py:6(<module>)
      418    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
      133    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:6(<module>)
        1    0.000    0.000    0.000    0.000 TiffTags.py:359(_populate)
      130    0.000    0.000    0.000    0.000 enum.py:526(__new__)
        7    0.000    0.000    0.000    0.000 __init__.py:1357(_register)
      481    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      420    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      644    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
        1    0.000    0.000    0.000    0.000 _exceptions.py:7(<module>)
      474    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
      619    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       10    0.000    0.000    0.000    0.000 __init__.py:2253(_setup)
      907    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 random.py:38(<module>)
       33    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      618    0.000    0.000    0.000    0.000 _inspect.py:28(isfunction)
     1559    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 shlex.py:1(<module>)
     1559    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
    76/54    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      206    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        4    0.000    0.000    0.000    0.000 genericpath.py:27(isfile)
      250    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
      614    0.000    0.000    0.000    0.000 _inspect.py:43(iscode)
      339    0.000    0.000    0.000    0.000 functools.py:67(wraps)
       94    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
     1154    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      106    0.000    0.000    0.000    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.000    0.000 __init__.py:3034(__init__)
        8    0.000    0.000    0.000    0.000 hashlib.py:73(__get_builtin_constructor)
       59    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        6    0.000    0.000    0.000    0.000 enum.py:830(__or__)
       50    0.000    0.000    0.000    0.000 _internal.py:819(_ufunc_doc_signature_formatter)
       26    0.000    0.000    0.000    0.000 core.py:916(__init__)
       16    0.000    0.000    0.000    0.000 enum.py:125(__prepare__)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:359(_get_scalar_type_map)
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
       34    0.000    0.000    0.000    0.000 __init__.py:96(_cnfmerge)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:370(<dictcomp>)
     1000    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
       97    0.000    0.000    0.000    0.000 sre_parse.py:343(_escape)
        1    0.000    0.000    0.000    0.000 {built-in method sys.getwindowsversion}
      260    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       18    0.000    0.000    0.000    0.000 core.py:992(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:140(EventType)
      273    0.000    0.000    0.000    0.000 function_base.py:434(_add_docstring)
      178    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      700    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
        1    0.000    0.000    0.000    0.000 contextlib.py:107(__enter__)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
        1    0.000    0.000    0.000    0.000 legendre.py:83(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:115(_add_aliases)
       69    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       33    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
       44    0.000    0.000    0.000    0.000 enum.py:442(_get_mixins_)
        5    0.000    0.000    0.000    0.000 {built-in method nt.putenv}
      209    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
      104    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
       83    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
       30    0.000    0.000    0.000    0.000 getlimits.py:42(<lambda>)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
       98    0.000    0.000    0.000    0.000 sre_parse.py:408(_uniq)
      238    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1433(<setcomp>)
      251    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
      250    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
       16    0.000    0.000    0.000    0.000 enum.py:474(_find_new_)
      324    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
        3    0.000    0.000    0.000    0.000 enum.py:793(_missing_)
      206    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
        1    0.000    0.000    0.000    0.000 records.py:35(<module>)
        1    0.000    0.000    0.000    0.000 hmac.py:4(<module>)
